 url,relevance,start_year,end_year,policy_name,local_government,state,code,excluded,number,declared
https://www.hawkesbury.nsw.gov.au/__data/assets/pdf_file/0011/178274/Adopted-Hawkesbury-City-Council-Net-Zero-Emissions-and-Water-Efficiency-Strategy-2021.pdf,1,2021,,Net Zero Emissions and Water efficiency strategy,Hawkesbury City Council,NSW,Hawkesbury ,,26,12/03/19
https://www.innerwest.nsw.gov.au/ArticleDocuments/12126/Inner%20West%20Council%20Climate%20and%20Renewables%20Strategy.pdf.aspx,1,2019,,"Climate +
Renewables
Strategy",Inner West Council,NSW,InnerWest,,27,14/05/19
https://inverell.nsw.gov.au/wp-content/uploads/2020/03/ISC_Environmental_Sustainability_Plan.pdf,1,2018,,Environmental Sustainability Plan,Inverell Shire Council,NSW,Inverell ,,28,
https://www.krg.nsw.gov.au/files/assets/public/hptrim/information-management-publications-public-website-ku-ring-gai-council-website-environment/towards-zero-emissions-2030-action-plan.pdf,1,2020,2030,Towards Zero Admissions 2030 Action Plan,Ku-ring-gai Council,NSW,Kuringgai ,,29,
https://www.krg.nsw.gov.au/files/assets/public/hptrim/information-management-publications-public-website-ku-ring-gai-council-website-environment/climate_change_policy_29_07_2020-[2021103585].pdf,1,2020,,Climate Change Policy,Ku-ring-gai Council,NSW,Kuringgai ,,30,
https://www.krg.nsw.gov.au/files/assets/public/hptrim/information-management-publications-public-website-ku-ring-gai-council-website-sustainability/climate-wise-communities-resource-manual.pdf,1,2020,,Climate Wise Communities Resource Manual,Ku-ring-gai Council,NSW,Kuringgai ,,31,
https://www.kyogle.nsw.gov.au/wp-content/uploads/2019/06/Sustainable-Councils-Communities-Action-Plan_Kyogle-Council-Adopted-June-2019.pdf,1,2019,,100% Renewables Sustainable Councils and Communities Action Plan,Kyogle Council,NSW,Kyogle ,,32,
https://www.lachlan.nsw.gov.au/f.ashx/Lachlan-Shire-Council-Energy-Sustainability-Plan-Final.pdf,1,2020,,Energy Sustainability Plan,Lachlan Shire Council,NSW,Lachlan ,,33,
https://www.leeton.nsw.gov.au/f.ashx/Council-Plans/Leeton-Shire-Council-Energy-Master-Plan.pdf,1,2021,,NSW DPIE: Sustainable Councils and Communities ENERGY MASTERPLAN,Leeton Shire Council ,NSW,Leeton ,not found,34,
https://www.midcoast.nsw.gov.au/files/assets/public/document-resources/council/plans-amp-publications/climate-action-strategy-final-report-v8.pdf,1,2021,,CLIMATE CHANGE STRATEGY: PHASE 1,Mid-coast Council,NSW,Midcoast ,deleted,35,
http://www.mosman.nsw.gov.au/sites/default/files/2021-04/200248.002.Climate.Action.Plan.01_WEB.pdf,1,2021,,Mosman Climate Action Plan - Mitigation Strategy,Mosman Municipal Council,NSW,Mosman ,,36,12/11/19
https://nambucca.nsw.gov.au/cp_content/resources/CR_Nambucca_Risk_Report_final_2011-09-20T14_32_22_800.pdf,1,2010,,Climate Change Risk Assessment: Nambucca Shire Council,Nambucca Valley Council,NSW,Nambucca ,,37,
https://cdn.narrandera.nsw.gov.au/cdn/ff/J6WleTmO_gIJuyqpZS5jMgNeH78WKDcmObc6Wv4STUc/1610407178/public/2021-01/2021-01-12_narrandera_climate_action_strategy_draft_v2.pdf,1,2020,,Climate Action Strategy (Council Operations),Narrandera Shire Council,NSW,Narrandera ,,38,
https://www.northsydney.nsw.gov.au/files/sharedassets/public/webmeetings/2021/may_24_2021_730pm/reports_to_council_24_may_2021/council_3744_24_may_2021_-_8.22_draft_north_sydney_environmental_sustainability_strategy_2030.pdf,1,2021,2024,Draft North Sydney Environmental Sustainability Strategy 2030,North Sydney Council ,NSW,NorthSydney,,39,22/07/19
https://www.northsydney.nsw.gov.au/files/99819019-a6d5-41ce-9bb5-a3ca010fcba7/GHG_Water_M_plan_2010-2015.pdf,1,2015,2020,Greenhouse Action Plan and Water Management Plan 2015-2020,North Sydney Council ,NSW,NorthSydney,,40,22/07/19
https://files.northernbeaches.nsw.gov.au/sites/default/files/documents/policies-register/environment-and-climate-change-strategy/environment-and-climate-change-strategy-and-plans/20ercc1837climatechangeactionplanv9web1.pdf,1,2020,,Climate Change Action Plan,Northern Beaches Council,NSW,NorthernBeaches,,41,27/08/19
https://files.northernbeaches.nsw.gov.au/sites/default/files/documents/policies-register/environment-and-climate-change-strategy/environment-and-climate-change-strategy-and-plans/environment-climate-change-strategy-2040.pdf,1,2020,2040,Northern Beaches Environment and Climate Change Strategy 2040,Northern Beaches Council,NSW,NorthernBeaches,,42,27/08/19
https://www.orange.nsw.gov.au/wp-content/uploads/2021/11/OCC-Climate-Change-Plan.pdf,1,2021,,Climate Change Management Plan,Orange City Council ,NSW,Orange ,,43,
https://www.orange.nsw.gov.au/wp-content/uploads/2021/02/DRAFT-Strategic-Policy-ST148-Climate-Change-2021-PDF.pdf,1,2021,,CLIMATE CHANGE,Orange City Council ,NSW,Orange ,,44,
https://www.penrithcity.nsw.gov.au/images/documents/waste-environment/sustainability/Cooling_The_City_Strategy.pdf,1,2015,,COOLING THE CITY STRATEGY,Penrith City Council,NSW,Penrith ,,45,
https://www.qprc.nsw.gov.au/files/assets/public/resources-amp-documents/plans-and-strategies/council-operations-climate-change-action-plan-updated-20-october-2021.pdf,1,2020,2030,CLIMATE CHANGE ACTION PLAN: COUNCIL OPERATIONS PLAN PERIOD: 2020 TO 2030 ,Queanbeyan-Palerang Regional Council,NSW,Queanbeyan,,46,
https://www.qprc.nsw.gov.au/files/assets/public/resources-amp-documents/plans-and-strategies/qprc-community-climate-change-action-plan-updated-20-october-2021.pdf,1,2020,2030,Climate Change Action Plan: Community,Queanbeyan-Palerang Regional Council,NSW,Queanbeyan,,47,
https://www.huntershill.nsw.gov.au/wp-content/uploads/2021/06/2021-June-Sustainability-Action-Plan-.pdf,1,2021,,Sustainability Action Plan,The Council of the Municipality of Hunters Hill,NSW,HuntersHill,,48,24/02/20
https://future.hornsby.nsw.gov.au/wp-content/uploads/2020/09/draft-Climate-Wise-Hornsby-Plan.pdf,1,2020,,Climate Wise Hornsby - Draft,The Council of the Shire of Hornsby,NSW,Hornsby,,49,
https://www.tweed.nsw.gov.au/files/assets/public/documents/environment/climate-amp-sustainability/interim-climate-change-action-plan.pdf,1,2020,2021,Interim Climate Change Action Plan,Tweed Shire Council,NSW,Tweed ,,50,
https://www.tweed.nsw.gov.au/files/assets/public/documents/council/council-policies/climate-change-management.pdf,1,2020,,Policy: Climate Change Management,Tweed Shire Council,NSW,Tweed ,,51,
https://upperhunter.nsw.gov.au/f.ashx/UHSC_EW_ClimateStrategy_DRAFT.pdf,1,,,Climate Change & Action Strategy Plan,Upper Hunter Shire Council,NSW,UpperHunter,,52,25/02/19
http://www.weddin.nsw.gov.au/Media/WeddinShireCouncil/PublicExhibition/10_RenewableEnergyActionPlan/B05_Draft%20Renewable%20Energy%20Action%20Plan.pdf,1,2021,,Renewable Energy Action Plan,Weddin Shire Council,NSW,Weddin ,not found,53,
https://wollongong.nsw.gov.au/__data/assets/pdf_file/0011/121214/Sustainable-Wollongong-2030.pdf,1,,2030,Sustainable Wollongong 2030 A Climate Healthy City Strategy,Wollongong City Council,NSW,Wollongong ,,54,12/08/19
https://www.darwin.nt.gov.au/sites/default/files/file/agendas-minutes/attachments/attachment_a_to_report_11ts0173_climate_change_action_plan_2011_to_2020.pdf,1,2011,2020,Climate Change Action Plan,Darwin City Council,NT,Darwin ,,55,30/07/19
https://wagait.nt.gov.au/wp-content/uploads/2020/09/Climate-Change-Action-Plan-2020-Final-Approved.pdf,1,2020,,Wagait Shire Action Plan for Climate Change,Wagait Shire Council,NT,Wagait ,,56,
http://www.environment.gov.au/apps/energy/ceep/ceep-roper-gulf-shire-council-final-report.pdf,1,,,The cleaner Greener challenge,Roper Gulf Regional Council,NT,RoperGulf,,57,
https://wagait.nt.gov.au/wp-content/uploads/2020/09/Climate-Change-Action-Plan-2020-Final-Approved.pdf,1,2020,,Wagait Shire Action Plan for Climate Change,Wagait Shire Council,NT,Wagait ,not found,58,
https://www.palmerston.nt.gov.au/sites/default/files/editors/City%20of%20Palmerston%20Draft%20Sustainability%20Strategy%202021.pdf,1,2021,,Sustainability Strategy 2021,City of Palmerston Council,NT,Palmerston,,59,
https://www.darwin.nt.gov.au/sites/default/files/DCC_ClimateChangeActionPlan_web.pdf,1,2011,2020,Climate Change Action Plan,City of Darwin,NT,Darwin ,,60,30/07/19
